subject,O,C,E,A,N,O_recavg,O_recmax,O_recmin,O_deviation rate,C_recavg,C_recmax,C_recmin,C_deviation rate,E_recavg,E_recmax,E_recmin,E_deviation rate,A_recavg,A_recmax,A_recmin,A_deviation rate,N_recavg,N_recmax,N_recmin,N_deviation rate
wzx,0.416666667,0.375,-0.041666667,0.020833333,0,0.136991486,0.595349189,-1.013794773,0.1738,0.075377015,0.531156484,-0.801401242,0.2248,0.13033885,0.46505554,-0.926828763,0.1236,0.025508218,0.852655469,-0.998787434,0.0025,0.008654098,0.117363638,-0.048165669,0.0523
yzy,0.083333333,-0.354166667,-0.3125,-0.0625,0.791666667,0.300709875,0.595630749,-1.022028613,0.1344,0.271619186,0.531404025,-0.806540189,0.4677,0.230170302,0.465285739,-0.935161384,0.3875,0.457695878,0.8530075,-0.891887428,0.2981,-0.023399609,0.102595924,-0.048194662,5.4053
wyk,0.3125,0.458333333,0.104166667,-0.0625,0.3125,0.439939669,0.595705199,-1.020509585,0.0789,0.401154052,0.531468237,-0.80556191,0.0428,0.331842676,0.465348125,-0.933751871,0.1627,0.697992977,0.853087885,-0.895960457,0.4348,-0.033529511,0.1024794,-0.048200791,2.2964
lxr,0.6875,-0.104166667,-0.354166667,0.125,0.3125,0.308060809,0.595784866,-1.100491154,0.2237,0.273766406,0.531539476,-0.999446353,0.2469,0.23551183,0.465415601,-0.999492933,0.4025,0.464742226,0.853176764,-0.965916498,0.1868,-0.020160945,0.209449832,-0.048211398,1.2911
zy,0.145833333,0.166666667,0.145833333,-0.041666667,0.1875,0.103146723,0.595669901,-1.081213402,0.0255,-0.016158962,0.531439748,-0.978927737,0.1210,0.138921421,0.465319563,-0.986094979,0.0048,-0.268160591,0.853045818,-0.999530622,0.1223,0.033837118,0.206497432,-0.048199586,0.6033
sc,0.5625,0.1875,-0.270833333,0.291666667,0.0625,-0.027142541,0.59574973,-1.096409101,0.3485,-0.004914523,0.531510403,-0.995852235,0.1260,-0.050153593,0.46538317,-0.995300373,0.1511,0.125210671,0.853153398,-0.987562439,0.0904,0.008766929,0.208394569,-0.048207186,0.2094
zjh,0.083333333,0.125,0.1875,-0.354166667,0.520833333,-0.137870061,0.595696321,-1.098506662,0.1306,-0.291716715,0.531455437,-0.997884574,0.2725,-0.01838266,0.465342281,-0.997525441,0.1407,-0.837884452,0.853063884,-0.999237748,0.2611,0.078214099,0.209138985,-0.048196999,1.7200
kq,0.5625,-0.0625,0.270833333,0.104166667,0.520833333,-0.044233315,0.595674425,-1.092805231,0.3593,-0.052911552,0.531445738,-0.988519153,0.0063,-0.033823944,0.465320363,-0.993375569,0.2089,-0.083418808,0.853067957,-0.993314332,0.1016,0.013782275,0.206725764,-0.048199435,1.9890
why,0.104166667,0.083333333,-0.770833333,0.229166667,0.416666667,0.175246405,0.595715015,-1.099206717,0.0419,0.157611033,0.531477633,-0.998162426,0.0486,0.133326646,0.465356532,-0.998371209,0.6177,0.269827081,0.853099145,-0.91838252,0.0230,-0.012474508,0.209145524,-0.048202658,1.6676
slime,0.354166667,-0.791666667,-0.25,-0.041666667,0.020833333,-0.203724715,0.595009046,-1.079432626,0.3332,-0.298248157,0.530792836,-0.978420043,0.3269,-0.11202803,0.464817562,-0.981653143,0.0954,-0.663394492,0.851959916,-0.999433076,0.3358,0.073852333,0.204898678,-0.048111087,0.2096
