subject,O,C,E,A,N,O_rec,C_rec,E_rec,A_rec,N_rec
wzx,0.4166666666666667,0.375,-0.041666666666666664,0.020833333333333332,0,0.1369914859972107,0.07537701463942742,0.13033885032276815,0.02550821843190221,0.008654097824819594
yzy,0.0833333333333333,-0.354166666666667,-0.3125,-0.0625,0.791666666666667,0.30070987492138007,0.27161918646733024,0.2301703020320807,0.4576958783745262,-0.02339960935455949
wyk,0.3125,0.4583333333333333,0.10416666666666667,-0.0625,0.3125,0.43993966949532204,0.4011540523682034,0.33184267580116833,0.6979929766465555,-0.03352951054735026
lxr,0.6875,-0.10416666666666667,-0.3541666666666667,0.125,0.3125,0.30806080858726465,0.27376640638826694,0.23551182993291683,0.46474222598206644,-0.020160944791872384
zy,0.14583333333333334,0.16666666666666666,0.14583333333333334,-0.041666666666666664,0.1875,0.10314672309017117,-0.01615896185810685,0.1389214211320079,-0.26816059119982133,0.03383711820674073
sc,0.5625,0.1875,-0.2708333333333333,0.2916666666666667,0.0625,-0.02714254116227354,-0.0049145234681319,-0.050153592747492724,0.12521067076788442,0.008766929133645102
zjh,0.08333333333333333,0.125,0.1875,-0.3541666666666667,0.5208333333333334,-0.1378700606252559,-0.29171671484301687,-0.01838265955308384,-0.8378844520385228,0.0782140989832937
kq,0.5625,-0.0625,0.2708333333333333,0.10416666666666667,0.5208333333333334,-0.04423331504797704,-0.0529115516419693,-0.0338239438383094,-0.08341880804507788,0.013782275399882258
why,0.10416666666666667,0.08333333333333333,-0.7708333333333334,0.22916666666666666,0.4166666666666667,0.17524640511159575,0.1576110331864813,0.13332664570148753,0.26982708103266656,-0.012474508367090211
slime,0.3541666666666667,-0.7916666666666666,-0.25,-0.041666666666666664,0.020833333333333332,-0.20372471531447423,-0.29824815748830175,-0.11202802960549145,-0.663394492431449,0.07385233324455329
jjy,0.25,0.5208333333333334,-0.3541666666666667,0.22916666666666666,0.4166666666666667,-0.7602522238355259,-0.6021672613843401,-0.7010715113361087,-0.4755418205223302,0.08212531185581225
ly,0.3125,0.5833333333333334,0.16666666666666666,0.22916666666666666,-0.7083333333333334,0.535631880652256,0.4776356506746068,0.4172232213202455,0.7725718428566937,-0.042239966720684335
xr,0.541666666666667,0.25,0.270833333333333,0.0833333333333333,0.270833333333333,0.04828992460587956,0.05995053748887499,0.01346487482677668,0.20749314218888415,0.0010420473422312812
gln,0.3125,0.020833333333333332,-0.14583333333333334,-0.22916666666666666,-0.10416666666666667,0.005132424687325972,0.003266000582619834,-0.0012472781671802112,0.031218660795062535,0.004631645014102635
lzj,0.7708333333333334,0.7916666666666666,-0.4791666666666667,0.4375,-0.2708333333333333,0.2179574961105465,0.19436928381128588,0.16966421824629593,0.31492362231411025,-0.01711301080179025
lsj,0.020833333333333332,0.16666666666666666,-0.3125,0.375,0.0625,-0.17157347359515832,-0.16961399407209563,-0.1403881510983771,-0.23521255711399003,0.031951099928809276
fsd,-0.2708333333333333,-0.16666666666666666,0.6458333333333334,0.3958333333333333,-0.020833333333333332,-0.12827340764157383,-0.12248608963251131,-0.11958521335178694,-0.099628300525422,0.03155063018187748
mlf,0.4375,0.3541666666666667,0.0625,0.041666666666666664,-0.5,-0.16288554610183517,-0.1087787785062187,-0.17569325476952763,0.04655555356049582,0.02078461536280768
fxp,0.270833333333333,0.333333333333333,-0.104166666666667,0.145833333333333,-0.0208333333333333,0.22703473552438813,0.2092117921488075,0.16806230543263367,0.37835660874869553,-0.016633459183369812
lrk,0.3125,0.20833333333333334,-0.0625,0.3541666666666667,-0.041666666666666664,0.09089477653548879,0.035292186431754476,0.09014292124546046,-0.01892966888143449,0.014734074832871272
my,0.2708333333333333,0.4166666666666667,0.1875,0.375,-0.2916666666666667,0.45451179827855387,0.4080762533331551,0.3502193645297712,0.6774843755734891,-0.03516294626235588
hjy,0.354166666666667,0.0625,0.0208333333333333,-0.0416666666666667,0.375,0.04869757215203361,0.03392820305509214,0.04222563469569456,0.0377490287151783,0.000492516087604908
cm,0.8333333333333334,0.25,0.22916666666666666,0.22916666666666666,0.4791666666666667,0.20642080037609797,0.18738886160464774,0.1550261643493319,0.32974857390150547,-0.014551852248094046
ff,0.16666666666666666,0.4583333333333333,0.22916666666666666,0.2708333333333333,-0.5,0.3635621205254466,0.31832268776394995,0.2869876406104364,0.4987614381922978,-0.026857235357793705
zyz,0.10416666666666667,0.25,-0.5416666666666666,-0.14583333333333334,0.08333333333333333,-0.21709660415223656,-0.19581732230962398,-0.20174779880769925,-0.15761913679033918,0.04372062808400983
lf,0.5833333333333334,0.7916666666666666,0.6041666666666666,0.3958333333333333,-0.625,0.06112897474848479,0.0571209133669176,0.044005135317520226,0.10888282254815657,-0.004164145729152977
Yyou,0.3958333333333333,0.3125,-0.25,0.10416666666666667,0.2708333333333333,0.024900578609766483,0.027381853079705355,0.004597267860008767,0.11402342644157724,0.0051459907841525055
yxy,0.4791666666666667,0.375,0.5833333333333334,0.125,-0.0625,-0.19853813601508194,-0.15346963658178578,-0.19457322331314456,-0.0638309681556144,0.027154801256906454
